subfamily_1,subfamily_2,R2,pvalue,slope
Wnt10_winsorized,Wnt11_winsorized,0.012,1.11e-06,0.141
Wnt10_winsorized,Wnt16_winsorized,0.019,1.82e-09,0.143
Wnt10_winsorized,Wnt1_winsorized,0.028,1.68e-13,0.189
Wnt10_winsorized,Wnt2_winsorized,0.0024,0.0193,0.0625
Wnt10_winsorized,Wnt3_winsorized,0.033,1.33e-15,0.211
Wnt10_winsorized,Wnt4_winsorized,0.032,4e-15,0.22
Wnt10_winsorized,Wnt5_winsorized,0.058,< 2.2e-16,0.205
Wnt10_winsorized,Wnt6_winsorized,0.054,< 2.2e-16,0.27
Wnt10_winsorized,Wnt7_winsorized,0.025,4.05e-12,0.156
Wnt10_winsorized,Wnt8_winsorized,0.011,4.26e-06,0.146
Wnt10_winsorized,Wnt9_winsorized,0.018,3.78e-09,0.125
Wnt11_winsorized,Wnt16_winsorized,0.0044,0.0026,0.0573
Wnt11_winsorized,Wnt1_winsorized,0.018,4.96e-09,0.12
Wnt11_winsorized,Wnt2_winsorized,0.0081,6.36e-05,0.0852
Wnt11_winsorized,Wnt3_winsorized,0.014,1.22e-07,0.112
Wnt11_winsorized,Wnt4_winsorized,0.018,2.85e-09,0.133
Wnt11_winsorized,Wnt5_winsorized,0.018,4.09e-09,0.0922
Wnt11_winsorized,Wnt6_winsorized,0.018,2.64e-09,0.127
Wnt11_winsorized,Wnt7_winsorized,0.02,5.53e-10,0.111
Wnt11_winsorized,Wnt8_winsorized,0.0043,0.00273,0.0762
Wnt11_winsorized,Wnt9_winsorized,0.029,1.45e-13,0.124
Wnt16_winsorized,Wnt1_winsorized,0.015,9.12e-08,0.134
Wnt16_winsorized,Wnt2_winsorized,0.019,2.35e-09,0.155
Wnt16_winsorized,Wnt3_winsorized,0.0097,1.3e-05,0.113
Wnt16_winsorized,Wnt4_winsorized,0.015,1.09e-07,0.146
Wnt16_winsorized,Wnt5_winsorized,0.04,< 2.2e-16,0.167
Wnt16_winsorized,Wnt6_winsorized,0.051,< 2.2e-16,0.256
Wnt16_winsorized,Wnt7_winsorized,0.0026,0.0151,0.0533
Wnt16_winsorized,Wnt8_winsorized,0.01,9.55e-06,0.137
Wnt16_winsorized,Wnt9_winsorized,0.016,1.76e-08,0.116
Wnt1_winsorized,Wnt2_winsorized,0.011,4.42e-06,0.11
Wnt1_winsorized,Wnt3_winsorized,0.015,1.12e-07,0.127
Wnt1_winsorized,Wnt4_winsorized,0.042,< 2.2e-16,0.225
Wnt1_winsorized,Wnt5_winsorized,0.028,2.12e-13,0.129
Wnt1_winsorized,Wnt6_winsorized,0.033,2e-15,0.191
Wnt1_winsorized,Wnt7_winsorized,0.018,4.14e-09,0.119
Wnt1_winsorized,Wnt8_winsorized,0.0096,1.37e-05,0.124
Wnt1_winsorized,Wnt9_winsorized,0.026,1.22e-12,0.135
Wnt2_winsorized,Wnt3_winsorized,0.00049,0.168,0.0319
Wnt2_winsorized,Wnt4_winsorized,0.0089,2.85e-05,0.103
Wnt2_winsorized,Wnt5_winsorized,0.011,3.96e-06,0.0789
Wnt2_winsorized,Wnt6_winsorized,0.03,3.69e-14,0.176
Wnt2_winsorized,Wnt7_winsorized,0.0096,1.38e-05,0.085
Wnt2_winsorized,Wnt8_winsorized,0.016,2.13e-08,0.155
Wnt2_winsorized,Wnt9_winsorized,0.0088,3.01e-05,0.0769
Wnt3_winsorized,Wnt4_winsorized,0.01,8.48e-06,0.109
Wnt3_winsorized,Wnt5_winsorized,0.036,< 2.2e-16,0.141
Wnt3_winsorized,Wnt6_winsorized,0.02,5e-10,0.145
Wnt3_winsorized,Wnt7_winsorized,0.039,< 2.2e-16,0.168
Wnt3_winsorized,Wnt8_winsorized,0.0026,0.0153,0.0674
Wnt3_winsorized,Wnt9_winsorized,0.047,< 2.2e-16,0.174
Wnt4_winsorized,Wnt5_winsorized,0.057,< 2.2e-16,0.167
Wnt4_winsorized,Wnt6_winsorized,0.034,6.66e-16,0.178
Wnt4_winsorized,Wnt7_winsorized,0.016,3.77e-08,0.102
Wnt4_winsorized,Wnt8_winsorized,0.0046,0.00204,0.0808
Wnt4_winsorized,Wnt9_winsorized,0.047,< 2.2e-16,0.163
Wnt5_winsorized,Wnt6_winsorized,0.033,2.66e-15,0.249
Wnt5_winsorized,Wnt7_winsorized,0.061,< 2.2e-16,0.283
Wnt5_winsorized,Wnt8_winsorized,0.011,2.54e-06,0.176
Wnt5_winsorized,Wnt9_winsorized,0.056,< 2.2e-16,0.255
Wnt6_winsorized,Wnt7_winsorized,0.021,2.06e-10,0.123
Wnt6_winsorized,Wnt8_winsorized,0.017,9.2e-09,0.157
Wnt6_winsorized,Wnt9_winsorized,0.059,< 2.2e-16,0.192
Wnt7_winsorized,Wnt8_winsorized,0.0043,0.00269,0.0985
Wnt7_winsorized,Wnt9_winsorized,0.028,1.93e-13,0.16
Wnt8_winsorized,Wnt9_winsorized,0.0044,0.00252,0.0467
